model,seed,fold,epoch,learning_rate,train_loss,validation_loss,train_mae,validation_mae
MLP_base_MAE,42,1,1,0.0010000000474974513,8.758753776550293,8.615398406982422,8.726689338684082,8.583293914794922
MLP_base_MAE,42,1,2,0.0010000000474974513,8.298200607299805,8.468049049377441,8.266060829162598,8.435868263244629
MLP_base_MAE,42,1,3,0.0010000000474974513,7.906334400177002,8.34862995147705,7.874125003814697,8.316387176513672
MLP_base_MAE,42,1,4,0.0010000000474974513,7.548818588256836,8.18106460571289,7.5165510177612305,8.148767471313477
MLP_base_MAE,42,1,5,0.0010000000474974513,7.255453109741211,8.121628761291504,7.223129749298096,8.089271545410156
MLP_base_MAE,42,1,6,0.0010000000474974513,6.98884916305542,7.921224117279053,6.956465244293213,7.888803482055664
MLP_base_MAE,42,1,7,0.0010000000474974513,6.70768404006958,7.730571746826172,6.675234794616699,7.698087692260742
MLP_base_MAE,42,1,8,0.0010000000474974513,6.509551048278809,7.335593223571777,6.477038860321045,7.30304479598999
MLP_base_MAE,42,1,9,0.0010000000474974513,6.282815933227539,7.132885456085205,6.250234127044678,7.100263595581055
MLP_base_MAE,42,1,10,0.0010000000474974513,6.107810974121094,7.0058064460754395,6.075155258178711,6.973111152648926
MLP_base_MAE,42,1,11,0.0010000000474974513,5.967905044555664,6.765292644500732,5.935178756713867,6.732527732849121
MLP_base_MAE,42,1,12,0.0010000000474974513,5.833948135375977,6.691650867462158,5.801152229309082,6.658814907073975
MLP_base_MAE,42,1,13,0.0010000000474974513,5.77968692779541,6.768772602081299,5.746817111968994,6.735860347747803
MLP_base_MAE,42,1,14,0.0010000000474974513,5.690110206604004,6.4367780685424805,5.657163143157959,6.4037909507751465
MLP_base_MAE,42,1,15,0.0010000000474974513,5.609167098999023,6.281073570251465,5.576145648956299,6.24800968170166
MLP_base_MAE,42,1,16,0.0010000000474974513,5.581347465515137,6.328704357147217,5.548247337341309,6.295561790466309
MLP_base_MAE,42,1,17,0.0010000000474974513,5.482104301452637,6.184535980224609,5.448925971984863,6.151309490203857
MLP_base_MAE,42,1,18,0.0010000000474974513,5.422296524047852,6.1870012283325195,5.389030933380127,6.153690338134766
MLP_base_MAE,42,1,19,0.0010000000474974513,5.450306415557861,6.0463032722473145,5.416962146759033,6.012913703918457
MLP_base_MAE,42,1,20,0.0010000000474974513,5.425778388977051,6.028769016265869,5.3923492431640625,5.9952898025512695
MLP_base_MAE,42,1,21,0.0010000000474974513,5.42145299911499,6.061117172241211,5.387937545776367,6.027553081512451
MLP_base_MAE,42,1,22,0.0010000000474974513,5.3567962646484375,6.091203689575195,5.323195934295654,6.057558059692383
MLP_base_MAE,42,1,23,0.0010000000474974513,5.338927268981934,6.021613597869873,5.305246353149414,5.987889289855957
MLP_base_MAE,42,1,24,0.0010000000474974513,5.315439701080322,5.939374923706055,5.281683921813965,5.905582904815674
MLP_base_MAE,42,1,25,0.0010000000474974513,5.301076889038086,5.841223239898682,5.26725435256958,5.807362079620361
MLP_base_MAE,42,1,26,0.0010000000474974513,5.2867255210876465,5.841638565063477,5.252831935882568,5.807705879211426
