model,feature,feature_scale,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_rank_mean,positive_folds,negative_folds,zero_folds,folds,sign_consistency
Lasso,PTS_roll5,standardized_numeric,-2.397880205539336,0.12881454668114745,2.397880205539336,1.2,0,5,0,5,1.0
Lasso,FGA_roll5,standardized_numeric,2.237956120096394,0.08762346550588125,2.237956120096394,2.2,5,0,0,5,1.0
Lasso,PIR_roll5,standardized_numeric,2.183326823532302,0.07561703947808991,2.183326823532302,2.6,5,0,0,5,1.0
ElasticNet,PTS_roll5,standardized_numeric,-1.9668133844528621,0.1081122984414705,1.9668133844528621,1.6,0,5,0,5,1.0
ElasticNet,FGA_roll5,standardized_numeric,1.9648191594941138,0.09465223227253963,1.9648191594941138,1.8,5,0,0,5,1.0
ElasticNet,PIR_roll5,standardized_numeric,1.9054652065636173,0.09404830077176235,1.9054652065636173,2.6,5,0,0,5,1.0
ElasticNet,PIR_roll10,standardized_numeric,1.1894951629079542,0.1975564431571637,1.1894951629079542,4.4,5,0,0,5,1.0
Lasso,FTA_roll5,standardized_numeric,1.1284673550090143,0.05493055783716086,1.1284673550090143,4.4,5,0,0,5,1.0
ElasticNet,FTA_roll5,standardized_numeric,1.122435204895634,0.05400597290137729,1.122435204895634,4.6,5,0,0,5,1.0
Lasso,PIR_roll10,standardized_numeric,0.9955537610274574,0.19146508024875047,0.9955537610274574,4.6,5,0,0,5,1.0
Lasso,TOV_roll5,standardized_numeric,0.7403480910506814,0.05468444403710252,0.7403480910506814,6.2,5,0,0,5,1.0
ElasticNet,TOV_roll5,standardized_numeric,0.7129601916885747,0.05208678456371101,0.7129601916885747,6.4,5,0,0,5,1.0
ElasticNet,PTS_roll10,standardized_numeric,-0.6083705692533712,0.19409770357675654,0.6083705692533712,9.0,0,5,0,5,1.0
ElasticNet,3P_rate_roll5,standardized_numeric,-0.5961503891090707,0.09303204707890454,0.5961503891090707,7.6,0,5,0,5,1.0
Lasso,3P_rate_roll5,standardized_numeric,-0.5717386858382836,0.09491742028764169,0.5717386858382836,6.8,0,5,0,5,1.0
ElasticNet,MP_min_roll5,standardized_numeric,0.5401021434024692,0.07154840114485267,0.5401021434024692,9.0,5,0,0,5,1.0
Lasso,MP_min_roll5,standardized_numeric,0.48891385205721705,0.06993078380947453,0.48891385205721705,9.0,5,0,0,5,1.0
ElasticNet,TS_roll10,standardized_numeric,0.4832667799360853,0.06960212729187001,0.4832667799360853,11.2,5,0,0,5,1.0
ElasticNet,TS_roll5,standardized_numeric,-0.4797050183322211,0.1254429152316078,0.4797050183322211,10.8,0,5,0,5,1.0
Lasso,STL_roll5,standardized_numeric,-0.46119600879363026,0.06110606933876638,0.46119600879363026,9.8,0,5,0,5,1.0
ElasticNet,FT_rate_roll5,standardized_numeric,-0.44955592663457206,0.06880450522380079,0.44955592663457206,11.6,0,5,0,5,1.0
ElasticNet,STL_roll5,standardized_numeric,-0.4450207249409324,0.06127696821388782,0.4450207249409324,11.6,0,5,0,5,1.0
Lasso,FT_rate_roll5,standardized_numeric,-0.4386838500313899,0.07009203897759443,0.4386838500313899,10.6,0,5,0,5,1.0
